"GEOID","org_name","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss"
"2906","Washington University",345687.930006887,321981.790676262,884961.10081763,3.81551287390161,824273.384131231,3.5538575716621,2558539.87447834,6549862.07866456,28.2397532053499,13032.2616383169,33362.5897940913,0.143842922302962,13032.2616383169,33362.5897940913,0.143842922302962,2891195.54284691,7401460.58968809,31.9114231569485
"2906","University of Missouri-Columbia",417571.872633047,417571.872633047,1068983.9939406,4.60892821967738,1068983.9939406,4.60892821967738,940367.438389073,2407340.64227603,10.3792575786488,5803.97569940812,14858.1777904848,0.0640610853854881,5803.97569940812,14858.1777904848,0.0640610853854881,1352135.33532271,3461466.45842614,14.9241247129407
"2906","University of Kansas Medical Center",13492.8162026853,13492.8162026853,34541.6094788743,0.148926269787633,34541.6094788743,0.148926269787633,616560.217965286,1578394.15799113,6.80525191936921,1391.04917030427,3561.08587597894,0.0153536341793026,1391.04917030427,3561.08587597894,0.0153536341793026,628661.984997667,1609374.68159403,6.93882455497754
"2906","University of Missouri Kansas City",115649.943572156,115649.943572156,296063.85554472,1.27648034618034,296063.85554472,1.27648034618034,301765.11349497,772518.690547124,3.33071702969642,0,0,0,0,0,0,417415.057067127,1068582.54609184,4.60719737587676
"2906","University of Iowa",3316.79043057998,3316.79043057998,8490.98350228475,0.036608904996074,8490.98350228475,0.036608904996074,313428.161946734,802376.09458364,3.45944733137562,911.486388468521,2333.40515447941,0.0100604844650447,911.486388468521,2333.40515447941,0.0100604844650447,315833.465988846,808533.672931445,3.48599575190665
"2907","Washington University",107041.007714236,99700.4880642916,274024.979748444,1.18145965628865,255233.249444587,1.10043904551715,792242.547883465,2028140.92258167,8.74433666411713,4035.39232200914,10330.6043443434,0.0445404366752489,4035.39232200914,10330.6043443434,0.0445404366752489,895248.163275691,2291835.29798577,9.88125588373053
"2907","University of Missouri-Columbia",105706.894983761,105706.894983761,270609.651158428,1.16673445515633,270609.651158428,1.16673445515633,238050.808904208,609410.070794773,2.62747364653028,1469.25664766885,3761.29701803225,0.0162168452168241,1469.25664766885,3761.29701803225,0.0162168452168241,342288.4472403,876258.424935169,3.77799125646979
"2907","University of Arkansas at Fayetteville",6118.15834252638,6118.15834252638,15662.4853568675,0.0675288602642647,15662.4853568675,0.0675288602642647,36955.9230040551,94607.1628903811,0.407899112896652,0,0,0,0,0,0,43074.0813465815,110269.648247249,0.475427973160917
"2907","University of Missouri Kansas City",10949.4157682339,10949.4157682339,28030.5043666788,0.120853617378442,28030.5043666788,0.120853617378442,28570.2836503608,73139.9261449237,0.315343046767068,0,0,0,0,0,0,39519.6994185947,101170.430511603,0.43619666414551
"2907","University of Arkansas for Medical Sciences",2553.59007808587,2553.59007808587,6537.19059989982,0.0281851200804435,6537.19059989982,0.0281851200804435,27276.386987969,69827.5506892007,0.301061728432477,433.769263851561,1110.44931546,0.00478770609808531,433.769263851561,1110.44931546,0.00478770609808531,29396.2078022033,75254.2919736405,0.324459142414835
"2908","Washington University",1002483.51809153,933736.501219812,2566357.80631432,11.0648606362282,2390365.44312272,10.306068948271,7419680.67700082,18994382.5331221,81.8943465650412,37793.1260012722,96750.4025632569,0.417139698224255,37793.1260012722,96750.4025632569,0.417139698224255,8384371.06909108,21463989.9368732,92.5420675030452
"2908","University of Missouri-Columbia",350709.791768553,350709.791768553,897817.066927495,3.87094141664017,897817.066927495,3.87094141664017,789794.739822374,2021874.53394528,8.7173191076472,4874.63654133123,12479.0695458079,0.0538035518875941,4874.63654133123,12479.0695458079,0.0538035518875941,1135629.8950496,2907212.53132696,12.5344569723998
"2908","University of Illinois at Urbana-Champaign",264.731914330705,264.731914330705,677.713700686606,0.00292196498512778,677.713700686606,0.00292196498512778,70807.2169934341,181266.475503191,0.781531041590636,0,0,0,0,0,0,71071.9489077648,181944.189203878,0.784453006575764
"2908","University of Arkansas for Medical Sciences",2268.44974678596,2268.44974678596,5807.23135177205,0.0250378982352327,5807.23135177205,0.0250378982352327,24230.6365798832,62030.4296445009,0.267444413843242,385.333489972355,986.453734329228,0.00425309871740581,385.333489972355,986.453734329228,0.00425309871740581,26113.7528366968,66851.2072619437,0.288229213361069
"2908","University of Missouri Kansas City",4791.69774223048,4791.69774223048,12266.74622011,0.0528881191280282,12266.74622011,0.0528881191280282,12502.9651407967,32007.5907604395,0.138000839241632,0,0,0,0,0,0,17294.6628830272,44274.3369805495,0.19088895836966
"3001","University of Montana",156975.216427845,156975.216427845,401856.554055282,1.73260593493097,401856.554055282,1.73260593493097,1897113.69354371,4856611.05547189,20.939295510916,40134.5897029481,102744.549639547,0.442983484257917,40134.5897029481,102744.549639547,0.442983484257917,2013954.3202686,5155723.05988763,22.2289179615891
"3001","Montana State University - Bozeman",381890.297051918,381890.297051918,977639.16045291,4.21509465138305,977639.16045291,4.21509465138305,1351406.31454649,3459600.16523901,14.9160781833527,14581.6089043456,37328.9187951247,0.160943763629875,14581.6089043456,37328.9187951247,0.160943763629875,1718715.00269406,4399910.4068968,18.9702290711058
"3001","Hopa Mountain",111204.618802657,111204.618802657,284683.824134802,1.22741530105031,284683.824134802,1.22741530105031,0,0,0,0,0,0,0,0,0,111204.618802657,284683.824134802,1.22741530105031
"3001","University of Washington",4191.87265448563,4134.70186287631,10731.1939954832,0.0462675803538394,10584.8367689633,0.0456365606610426,35766.3676617152,91561.9012139908,0.394769456553643,437.301289133564,1119.49130018192,0.00482669064676238,437.301289133564,1119.49130018192,0.00482669064676238,39520.9390270672,101173.603909292,0.43621034626072
"3001","Columbia University",17946.1222262401,16640.5801373207,45942.0728991746,0.198079407601726,42599.8851515409,0.183669553466543,5424.19492935082,13885.9390191381,0.0598692745305791,521.280099351818,1334.47705434065,0.00575360247592662,501.045806702406,1282.67726515816,0.00553026750413115,22849.0370562391,58493.5348639721,0.252195079656378
