"GEOID","org_name","budg_NIA_cuts","budg_NIAID_cuts","budg_NCI_cuts","budg_NIH_cuts","budg_NIA_cuts_econ_loss","budg_NIA_cuts_job_loss","budg_NIAID_cuts_econ_loss","budg_NIAID_cuts_job_loss","budg_NCI_cuts_econ_loss","budg_NCI_cuts_job_loss","budg_NIH_cuts_econ_loss","budg_NIH_cuts_job_loss","state","rep_name","pol_party"
"3912","Ohio University Athens",594038.556109907,152676.324336323,0,2183666.2283766,1520738.70364136,6.55667022677397,390851.390300987,1.6851571330061,0,0,5590185.5446441,24.1021044805039,"Ohio","Troy Balderson","Republican"
"3912","Cincinnati Children's Hospital Medical Center",6142.42848425109,79232.5905594034,22115.871139429,555613.298534041,15724.6169196828,0.0677967407141265,202835.431832073,0.874525672059064,56616.6301169381,0.244102798290815,1422370.04424714,6.13255340857675,"Ohio","Troy Balderson","Republican"
"3913","Case Western Reserve University",435772.829355222,496077.128469748,960354.625952763,5588706.11989776,1115578.44314937,4.80982035001412,1269957.44888255,5.47542597187805,2458507.84243907,10.5998651406797,14307087.6669383,61.6850583950033,"Ohio","Emilia Strong Sykes","Democrat"
"3913","Cleveland Clinic Lerner College of Medicine",505566.053406779,229754.974344342,437289.354199637,3564496.62602413,1294249.09672135,5.58015949629126,588172.734321516,2.53590879622644,1119460.74675107,4.82655891553864,9125111.36262176,39.3429494784587,"Ohio","Emilia Strong Sykes","Democrat"
"3913","Ohio State University",77903.5572412324,81573.7084872362,204713.296201958,1041749.56438696,199433.106537555,0.859856534680664,208828.693727325,0.900365641631592,524066.038277012,2.25951255255526,2666878.88483061,11.4982576169803,"Ohio","Emilia Strong Sykes","Democrat"
"3913","International Chemical Workers Union",0,0,0,798420.015950166,0,0,0,0,0,0,2043955.24083242,8.81252015243315,"Ohio","Emilia Strong Sykes","Democrat"
"3913","Cincinnati Children's Hospital Medical Center",3138.52852688446,40484.5976419965,11300.3012808315,283895.562127667,8034.63302882421,0.034641348337492,103640.569963511,0.446846679011001,28928.7712789287,0.124726498304759,726772.639046829,3.1334827690399,"Ohio","Emilia Strong Sykes","Democrat"
"3914","Case Western Reserve University",868552.500122291,988746.890950978,1914112.9395549,11139025.5332535,2223494.40031307,9.58660386496577,2531192.0408345,10.9132433156648,4900129.12526055,21.1269238206492,28515905.365129,122.946425476877,"Ohio","David P. Joyce","Republican"
"3914","Cleveland Clinic Lerner College of Medicine",1007659.564992,457931.848751506,871575.133376098,7104510.07418604,2579608.48637953,11.1219909895625,1172305.53280386,5.05439939498648,2231232.34144281,9.61996602514519,18187545.7899163,78.4156671315673,"Ohio","David P. Joyce","Republican"
"3914","Northeast Ohio Medical University",189876.13697057,0,0,2292942.52097174,486082.910644659,2.09574816524107,0,0,0,0,5869932.85368767,25.3082359795143,"Ohio","David P. Joyce","Republican"
