"state","org_name","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss"
"Arkansas","St. Jude Children's Research Hospital",14284.9552249742,14284.9552249742,36569.4853759338,0.157669463793287,36569.4853759338,0.157669463793287,661184.955628999,1692633.48641024,7.29779518244173,2458.19021077835,6292.96693959257,0.0271321489169057,2458.19021077835,6292.96693959257,0.0271321489169057,673011.720643195,1722910.00484658,7.42833249731811
"Arkansas","Arkansas Cancer Coalition",540519.50055365,540519.50055365,1383729.92141734,5.96595638417644,1383729.92141734,5.96595638417644,0,0,0,0,0,0,0,0,0,540519.50055365,1383729.92141734,5.96595638417644
"Arkansas","University of Texas Southwestern Medical Center",12013.5423439303,12013.5423439303,30754.6684004615,0.132598860115003,30754.6684004615,0.132598860115003,86588.2249748213,221665.855935542,0.95571311128259,1284.8068852769,3289.10562630885,0.0141809903838811,1284.8068852769,3289.10562630885,0.0141809903838811,97316.9604334746,249131.418709695,1.07413098101371
"California","University of California, San Francisco",30696458.0688707,29805700.3083296,78582932.6563089,338.810588332152,76302592.7893238,328.97889503929,137698202.881894,352507399.377649,1519.83688235374,3139696.56393894,8037623.20368368,34.6542404868317,3092220.20005965,7916083.71215271,34.1302225450313,165254964.386826,423052708.830274,1823.99323019906
"California","University of California Los Angeles",13017471.7640222,13017471.7640222,33324727.7158968,143.679679820721,33324727.7158968,143.679679820721,141184435.751441,361432155.523688,1558.31599961684,1141619.89858134,2922546.94036822,12.6005713304846,1141619.89858134,2922546.94036822,12.6005713304846,153060287.616882,391834336.299217,1689.39510810708
"California","University of California, San Diego",28108062.8602175,28108062.8602175,71956640.9221568,310.241308400496,71956640.9221568,310.241308400496,106957554.135106,273811338.585872,1180.5385416708,2053320.07214239,5256499.38468452,22.6634154375706,2053320.07214239,5256499.38468452,22.6634154375706,133012296.923181,340511480.123344,1468.11643463372
"California","Stanford University",9557548.31158977,9557548.31158977,24467323.6776698,105.490951405451,24467323.6776698,105.490951405451,113001912.503275,289284896.008384,1247.2528384869,473350.411119421,1211777.05246572,5.22458098972907,473350.411119421,1211777.05246572,5.22458098972907,122086110.403745,312540442.633588,1347.51920890262
"California","University of California-Irvine",6394942.49420878,6394942.49420878,16371052.7851745,70.5838512036796,16371052.7851745,70.5838512036796,84827574.6466379,217158591.095393,936.280023197945,3236243.80090333,8284784.13031251,35.7198756843635,3236243.80090333,8284784.13031251,35.7198756843635,87986273.3399434,225244859.750255,971.143998717261
"Colorado","University of Colorado Denver",8972689.25429345,8972689.25429345,22970084.4909912,99.0355994280545,22970084.4909912,99.0355994280545,56124651.494388,143679107.825633,619.472974702394,763989.451916317,1955812.99690577,8.43249456020543,763989.451916317,1955812.99690577,8.43249456020543,64333351.2967652,164693379.319719,710.076079570243
"Colorado","Colorado State University",721237.962677941,721237.962677941,1846369.18445553,7.96062718096473,1846369.18445553,7.96062718096473,7634536.66855313,19544413.871496,84.26580859956,8569.24305729623,21937.2622266784,0.0945825826318392,8569.24305729623,21937.2622266784,0.0945825826318392,8347205.38817377,21368845.7937249,92.1318531978929
"Colorado","University of Colorado - Colorado Springs",2494226.66577992,2494226.66577992,6385220.26439661,27.5298994486803,6385220.26439661,27.5298994486803,0,0,0,0,0,0,0,0,0,2494226.66577992,6385220.26439661,27.5298994486803
"Colorado","University of Denver (Colorado Seminary)",980309.087378044,980309.087378044,2509591.26368779,10.8201114896293,2509591.26368779,10.8201114896293,1356700.56130894,3473153.43695088,14.9745131616273,0,0,0,0,0,0,2337009.64868698,5982744.70063868,25.7946246512565
"Colorado","Fort Lewis College",293339.516276738,293339.516276738,750949.161668451,3.23771993067757,750949.161668451,3.23771993067757,28635.4853682495,73306.8425427187,0.31606270739855,0,0,0,0,0,0,321975.001644988,824256.004211169,3.55378263807612
"Connecticut","Yale University",14673989.0444501,14636192.5561922,37565411.9537923,161.963404708621,37468652.943852,161.54622789966,134814251.857995,345124484.756468,1488.00542020472,2764021.45789065,7075894.93220008,30.5077456887546,2764021.45789065,7075894.93220008,30.5077456887546,146724219.444555,375614001.778061,1619.46107922458
"Connecticut","University of Connecticut School of Medicine",326908.073567299,326908.073567299,836884.668332285,3.6082311674971,836884.668332285,3.6082311674971,12757680.3088864,32659661.5907492,140.812244901659,0,0,0,0,0,0,13084588.3824537,33496546.2590815,144.420476069156
"Connecticut","University of Connecticut Storrs",1265412.38191086,1265412.38191086,3239455.6976918,13.9669245434146,3239455.6976918,13.9669245434146,6184674.08284015,15832765.6520708,68.2630243511601,169776.690303972,434628.327178167,1.8739015490946,169776.690303972,434628.327178167,1.8739015490946,7280309.77444703,18637593.0225844,80.3560473454802
"Connecticut","Columbia University",4764695.45106674,4418074.02645864,12197620.3547309,52.5900827182582,11310269.5077341,48.7642664453672,1440123.75374264,3686716.80958117,15.8952923878688,138399.866377908,354303.657927443,1.52758145735852,133027.661679489,340550.813899491,1.46828602234682,6066419.33843148,15530033.5063846,66.9577936487684
"Connecticut","Harvard School of Public Health",4055471.45004337,3978318.91767868,10382006.912111,44.7620590255282,10184496.4292574,43.9104918895692,118772.544167501,304057.713068803,1.31094589078687,77069.4799399899,197297.868646374,0.850650449062759,75577.9384204042,193479.522356235,0.834187635710194,4097174.51427088,10488766.7565335,45.2223544672523
"Delaware","University of Delaware",180408.084442107,180408.084442107,461844.696171793,1.99124501897152,461844.696171793,1.99124501897152,6974696.56848845,17855223.2153304,76.9828571917306,70540.7790981748,180584.394491328,0.77859024692813,70540.7790981748,180584.394491328,0.77859024692813,7084563.87383239,18136483.5170109,78.195511963774
"Delaware","Delaware State University",6076160.84505415,6076160.84505415,15554971.7633386,67.0653150306381,15554971.7633386,67.0653150306381,835321.936848214,2138424.15833143,9.21982321984253,7376.26764545986,18883.2451723772,0.0814151774464192,7376.26764545986,18883.2451723772,0.0814151774464192,6904106.5142569,17674512.6764977,76.2037230730342
"Delaware","University of Pennsylvania",195406.695695022,195406.695695022,500241.140979256,2.1567914247283,500241.140979256,2.1567914247283,1883281.31484183,4821200.16599509,20.7866213373843,17105.3308236197,43789.6469084665,0.188799215432737,17105.3308236197,43789.6469084665,0.188799215432737,2061582.67971323,5277651.66006588,22.7546135466799
"Delaware","Johns Hopkins University",87463.833414823,87463.833414823,223907.413541947,0.965377594723643,223907.413541947,0.965377594723643,765657.235866652,1960082.52381863,8.45090264038706,5996.85288551638,15351.9433869219,0.0661899574773292,5996.85288551638,15351.9433869219,0.0661899574773292,847124.216395959,2168637.99397365,9.35009027763338
