state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
DE,NIH_tot,83474703.84784885,196395463.18439853,459.1108711631685,1050123
DE,NIMH,3840066.1544417012,9034731.916329468,21.120363849429356,1050123
DE,NIMHD,2437597.43585092,5735067.696000947,13.40678589718006,1050123
DE,NINDS,2566185.3238932546,6037603.394456482,14.114019281412903,1050123
DE,NINR,628119.708993538,1477811.3068587373,3.45465839946446,1050123
DE,NLM,168974.03665031315,397554.38072070497,0.9293572015767223,1050123
DE,OD,3145660.806709051,7400966.792055934,17.30113443689978,1050123
FL,FIC,467565.63660195144,1501871.3941825915,5.236735129941856,23265838
FL,NCATS,14699155.133011818,47215276.0698208,164.6305374897324,23265838
FL,NCCIH,2151121.953573401,6909636.368808756,24.0925658800221,23265838
FL,NCI,112217293.5109529,360454083.58392704,1256.8336873226724,23265838
FL,NEI,29822834.922020398,95794171.2490363,334.0157511266283,23265838
FL,NHGRI,6892336.672389439,22138930.830260523,77.1941707307617,23265838
FL,NHLBI,61177790.04568241,196509678.29173315,685.1912485116428,23265838
FL,NIA,159830894.26755235,513394118.8484192,1790.106015796586,23265838
FL,NIAAA,9882208.518635757,31742722.569070455,110.68073540872044,23265838
FL,NIAID,68329427.26457508,219481510.52193266,765.2895853632407,23265838
FL,NIAMS,12182340.570246665,39130995.48891687,136.44221438676266,23265838
FL,NIBIB,6103763.869412705,19605949.699251104,68.3621553374223,23265838
FL,NICHD,25486785.466036733,81866311.43232612,285.4519972196113,23265838
FL,NIDA,43096550.14183367,138430780.14964956,482.6813615885372,23265838
FL,NIDCD,13738353.860563412,44129078.467551425,153.86956323831015,23265838
FL,NIDCR,14040083.560752274,45098266.89804067,157.24893588042542,23265838
FL,NIDDK,88535593.59061335,284385902.1528505,991.5986482148703,23265838
FL,NIEHS,8795516.463783227,28252150.158040304,98.50978439437216,23265838
FL,NIGMS,58994131.335378766,189495530.34130388,660.7342709562416,23265838
FL,NIH_tot,913094737.5132437,2932959052.3720675,10226.661060148332,23265838
FL,NIMH,34853695.46312392,111953839.41823,390.3613891869878,23265838
FL,NIMHD,20287131.563507907,65164460.73044046,227.21587351128855,23265838
FL,NINDS,69069559.46295944,221858895.19191265,773.5790659851461,23265838
FL,NINR,4555923.0782048395,14634117.671648385,51.02633847589422,23265838
FL,NLM,1575055.0329700382,5059247.115490746,17.64061636926442,23265838
FL,OD,46309626.12886135,148751527.7292242,518.6678126432473,23265838
GA,FIC,1635987.1305587222,4805063.900329842,19.304648140592928,11204208
GA,NCATS,13625387.29928638,40019175.83389184,160.7795701315791,11204208
GA,NCCIH,2185813.752758693,6419961.7222161945,25.79260228255258,11204208
GA,NCI,66618110.03478265,195664299.3438543,786.0936984104355,11204208
GA,NEI,12262532.465905365,36016329.82187419,144.6978830976833,11204208
GA,NHGRI,2264855.8798764935,6652116.6484528715,26.725299382542616,11204208
GA,NHLBI,78755570.77289525,231313280.5277452,929.3157351201636,11204208
