FIPS,name,state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
19195,Worth County,IA,NIAMS,2713.677036560882,6664.592843590251,0.021438048588830968,7307
19195,Worth County,IA,NIBIB,1467.1176884246024,3603.1340189880816,0.01159022973855436,7307
19195,Worth County,IA,NICHD,1385.7413307084578,3403.279620706486,0.010947356512596818,7307
19195,Worth County,IA,NIDA,706.8734240959019,1736.0295643449506,0.0055843000503576256,7307
19195,Worth County,IA,NIDCD,2518.3706723281443,6184.934660307418,0.01989512831139234,7307
19195,Worth County,IA,NIDCR,1176.1007735124283,2888.4177051612223,0.009291196110748185,7307
19195,Worth County,IA,NIDDK,10512.295602530383,25817.431145424165,0.08304713525999004,7307
19195,Worth County,IA,NIEHS,1060.9345461119235,2605.5778518493444,0.008381382914284197,7307
19195,Worth County,IA,NIGMS,3732.230447212428,9166.08571838189,0.029484620532978182,7307
19195,Worth County,IA,NIMH,1827.4216091144367,4488.014164633632,0.014436630712004052,7307
19195,Worth County,IA,NIMHD,203.54200345865524,499.8843124455728,0.0016079818273233766,7307
19195,Worth County,IA,NINDS,9004.91492036964,22115.414150938206,0.07113882787092016,7307
19195,Worth County,IA,NINR,483.33902156809313,1187.0453781976269,0.003818378270387936,7307
19195,Worth County,IA,NLM,591.1012156194706,1451.7014657159036,0.004669699603393819,7307
19195,Worth County,IA,OD,9402.155908111832,23091.009038767053,0.07427703167408348,7307
19197,Wright County,IA,FIC,95.60625815553641,234.80199571329308,7.552894394287377e-4,12729
19197,Wright County,IA,NCATS,507.5970901559285,1246.6214250638002,0.004010017012231836,12729
19197,Wright County,IA,NCCIH,44.07206557025597,108.23777805704204,3.481693180050222e-4,12729
19197,Wright County,IA,NCI,14619.359407419988,35904.08024679438,0.11549293931861791,12729
19197,Wright County,IA,NEI,595.2474167768532,1461.8842332999923,0.004702454592537141,12729
19197,Wright County,IA,NHGRI,626.759082153036,1539.274584740587,0.004951396749008985,12729
19197,Wright County,IA,NHLBI,5645.58438271323,13865.143408000882,0.04460011662343452,12729
19197,Wright County,IA,NIA,3470.2819267746354,8522.75926089333,0.027415227221519622,12729
19197,Wright County,IA,NIAAA,394.8243944572358,969.6599110074363,0.003119112716212163,12729
19197,Wright County,IA,NIAID,8475.915376514085,20816.229860861342,0.06695973147446128,12729
19197,Wright County,IA,NIAMS,805.217914501824,1977.556458715726,0.00636122152456441,12729
19197,Wright County,IA,NIBIB,1591.164538232083,3907.7840331049338,0.012570199852033457,12729
19197,Wright County,IA,NICHD,1532.4170032546833,3763.504372734906,0.012106094325711999,12729
19197,Wright County,IA,NIDA,489.2190622682856,1201.4863292181603,0.0038648305919194567,12729
19197,Wright County,IA,NIDCD,1522.9978794045821,3740.3716916683966,0.0120316832472962,12729
19197,Wright County,IA,NIDCR,735.6445720326849,1806.6894048705453,0.005811592119058211,12729
19197,Wright County,IA,NIDDK,4037.5671237866336,9915.970322248024,0.031896780277914406,12729
19197,Wright County,IA,NIEHS,1683.6039216925897,4134.8084155854485,0.01330047098137146,12729
19197,Wright County,IA,NIGMS,10791.847177415308,26503.989420521488,0.08525559270158094,12729
19197,Wright County,IA,NIMH,1674.1866383703011,4111.680254720983,0.01322607444312538,12729
19197,Wright County,IA,NIMHD,59.026208273611175,144.96406165677152,4.6630704536152834e-4,12729
19197,Wright County,IA,NINDS,3323.820860935666,8163.061567282731,0.026258184801391766,12729
19197,Wright County,IA,NINR,143.03978180397164,351.295269597596,0.001130014276251376,12729
19197,Wright County,IA,NLM,521.3313212011062,1280.3516946215618,0.004118517437488739,12729
19197,Wright County,IA,OD,3985.91845381706,9789.124956486883,0.031488755785154775,12729
20001,Allen County,KS,FIC,0,0,0,12425
20001,Allen County,KS,NCATS,7.033697806765134,19.431081371203124,5.697295223479759e-5,12425
20001,Allen County,KS,NCCIH,0,0,0,12425
20001,Allen County,KS,NCI,1203.742978565054,3325.4240385498288,0.009750318126376938,12425
20001,Allen County,KS,NEI,99.38880525803314,274.568515084343,8.050493225900685e-4,12425
20001,Allen County,KS,NHGRI,7.969458550199892,22.016185771362277,6.455261425661914e-5,12425
20001,Allen County,KS,NHLBI,518.143675839533,1431.4080877242968,0.004196963774300217,12425
20001,Allen County,KS,NIA,9901.424968098972,27353.377914664485,0.08020154224160168,12425
20001,Allen County,KS,NIAAA,257.20240214216176,710.5395969793241,0.0020833394573515104,12425
20001,Allen County,KS,NIAID,4497.39106052893,12424.356868332718,0.03642886759028434,12425
20001,Allen County,KS,NIAMS,531.9490340970679,1469.5463539720677,0.00430878717618625,12425
20001,Allen County,KS,NIBIB,1597.6587780631548,4413.64394274989,0.012941036102311555,12425
20001,Allen County,KS,NICHD,1096.4510069133403,3029.0224744058487,0.008881253155998057,12425
20001,Allen County,KS,NIDA,524.1018935193875,1447.8680801415485,0.00424522533750704,12425
20001,Allen County,KS,NIDCD,651.1560467380724,1798.8640509048987,0.0052743639785783865,12425
20001,Allen County,KS,NIDCR,230.537918208374,636.877098067268,0.0018673571374878295,12425
20001,Allen County,KS,NIDDK,342.81474711225826,947.0496784749259,0.002776799451609292,12425
20001,Allen County,KS,NIEHS,131.14791528724442,362.30527435498533,0.0010622981138266798,12425
